Movie Title,Release Date,Genre (1),Director (1),Cast (1),Budget ($),Box Office Revenue ($),Profit
Get Hard,27/03/2015,Comedy,Etan Cohen,Will Ferrell,40000000,111800000,71800000
Get on Up,01/08/2014,Drama,Tate Taylor,Chadwick Boseman,30000000,33400000,3400000
Getaway,30/08/2013,Action,Courtney Solomon,Ethan Hawke,18000000,11800000,-6200000
Ghost Rider: Spirit of Vengeance,17/02/2012,Action,Mark Neveldine,Nicolas Cage,57000000,132600000,75600000
Ghostbusters,15/07/2016,Comedy,Paul Feig,Melissa McCarthy,144000000,217500000,73500000
God's Not Dead,21/03/2014,Religious,Harold Cronk,Willie Robertson,2000000,62600000,60600000
God's Not Dead 2,01/04/2016,Religious,Harold Cronk,Melissa Joan Hart,5000000,23500000,18500000
Gods of Egypt,25/02/2016,Action,Alex Proyas,Geoffrey Rush,140000000,145700000,5700000
Godzilla,08/05/2014,Action,Gareth Edwards,Aaron Taylor-Johnson,160000000,529000000,369000000
Gone Girl,26/09/2014,Mystery,David Fincher,Ben Affleck,61000000,369300000,308300000
Good Deeds,24/02/2012,Romance,Tyler Perry,Tyler Perry,14000000,35600000,21600000
Goosebumps,05/10/2015,Action,Rob Letterman,Jack Black,84000000,150200000,66200000
Grown Ups 2,12/07/2013,Comedy,Dennis Dugan,Adam Sandler,80000000,247000000,167000000
"Hail, Caesar!",05/02/2016,Comedy,Joel and Ethan Coen,Josh Brolin,22000000,22000000,0
Hands of Stone,26/08/2016,Biography,Jonathan Jakubowicz,Édgar Ramírez,20000000,1700000,-18300000
Hansel and Gretel: Witch Hunters,17/01/2013,Action,Tommy Wirkola,Jeremy Renner,50000000,226300000,176300000
Heaven Is for Real,16/04/2014,Religious,Randall Wallace,Greg Kinnear,12000000,101300000,89300000
Here Comes the Boom,12/10/2012,Comedy,Frank Coraci,Kevin James,42000000,73100000,31100000
Hit and Run,22/08/2012,Action,Dax Shepard,Dax Shepard,2000000,14500000,12500000
Hitman: Agent 47,21/08/2015,Action,Aleksander Bach,Rupert Friend,35000000,82300000,47300000
Home,07/03/2015,Animation,Tim Johnson,Jim Parsons,135000000,386000000,251000000
Hope Springs,08/08/2012,Romance,David Frankel,Meryl Streep,30000000,114300000,84300000
Horrible Bosses 2,26/11/2014,Comedy,Sean Anders,Jason Bateman,57000000,107700000,50700000
Hot Pursuit,08/05/2015,Action,Anne Fletcher,Reese Witherspoon,35000000,51700000,16700000
Hotel Transylvania,28/09/2012,Fantasy,Genndy Tartakovsky,Adam Sandler,85000000,358400000,273400000
Hotel Transylvania 2,25/09/2015,Fantasy,Genndy Tartakovsky,Adam Sandler,80000000,473000000,393000000
How to Train Your Dragon 2,16/05/2014,Family,Dean DeBlois,Jay Baruchel,145000000,621500000,476500000
I,14/01/2015,Romance,S. Shankar,Vikram,15000000,65000000,50000000
I Saw the Light,11/09/2015,Drama,Marc Abraham ,Elizabeth Olsen,13000000,2600000,-10400000
Ice Age: Collision Course,22/07/2016,Adventure,Mike Thurmeier,Ray Romano,105000000,368300000,263300000
Ice Age: Continental Drift,13/07/2012,Adventure,Steve Martino,Ray Romano,95000000,877000000,782000000
Identity Thief,08/02/2013,Action,Seth Gordon,Jason Bateman,35000000,174000000,139000000
If I Stay,18/08/2014,Drama,R. J. Cutler,Chloë Grace Moretz,11000000,78900000,67900000
In the Heart of the Sea,11/12/2015,Biography,Ron Howard,Chris Hemsworth,100000000,93900000,-6100000
Independence Day: Resurgence,20/06/2016,Action,Roland Emmerich,Jeff Goldblum,165000000,382300000,217300000
Insidious: Chapter 2,13/09/2013,Horror,James Wan,Patrick Wilson,5000000,161900000,156900000
Insidious: Chapter 3,05/06/2015,Horror,Leigh Whannell,Dermot Mulroney,11000000,113000000,102000000
Interstellar,26/10/2014,Sci-Fi,Christopher Nolan,Matthew McConaughey,165000000,675100000,510100000
Into the Storm,08/08/2014,Adventure,Steven Quale,Richard Armitage,50000000,161700000,111700000
Iron Sky,25/07/2012,Comedy,Timo Vuorensola,Julia Dietze,7500000,8100000,600000
Irrational Man,16/05/2015,Mystery,Woody Allen,Joaquin Phoenix,11000000,27400000,16400000
Jack Reacher,21/12/2012,Action,Christopher McQuarrie,Tom Cruise,60000000,218300000,158300000
Jack Ryan: Shadow Recruit,15/01/2014,Action,Kenneth Branagh,David Koepp,60000000,135500000,75500000
Jane Got a Gun,29/01/2016,Action,Gavin O'Connor,Natalie Portman,25000000,3000000,-22000000
Jason Bourne,29/07/2016,Action,Paul Greengrass,Matt Damon,120000000,347900000,227900000
"Jeff, Who Lives at Home",16/03/2012,Comedy,Jay Duplass,Jason Segel,7500000,7500000,0
Jem and the Holograms,23/10/2015,Musical,Jon M. Chu,Aubrey Peeples,5000000,2300000,-2700000
Jersey Boys,05/06/2014,Drama,Clint Eastwood,John Lloyd Young,58600000,67700000,9100000
Jobs,16/08/2013,Biography,Joshua Michael Stern,Ashton Kutcher,12000000,35900000,23900000
John Wick,13/10/2014,Action,Chad Stahelski,Keanu Reeves,20000000,86000000,66000000
Journey 2: The Mysterious Island,10/02/2012,Adventure,Brad Peyton,Dwayne Johnson,79000000,335300000,256300000
Joy,25/12/2015,Comedy,David O. Russell,Jennifer Lawrence,60000000,101100000,41100000
Keanu,29/04/2016,Comedy,Peter Atencio,Keegan-Michael Key,15000000,20700000,5700000
Kill the Messenger,10/10/2014,Crime,Michael Cuesta,Jeremy Renner,5000000,2500000,-2500000
Killing Them Softly,30/11/2012,Crime,Andrew Dominik,Brad Pitt,15000000,37900000,22900000
Kingsman: The Secret Service,13/12/2014,Action,Matthew Vaughn,Colin Firth,94000000,414400000,320400000
Krampus,04/12/2015,Horror,Michael Dougherty,Emjay Anthony,15000000,61500000,46500000
Kubo and the Two Strings,19/08/2016,Fantasy,Travis Knight,Art Parkinson,60000000,27600000,-32400000
Kung Fu Panda 3,23/01/2016,Action,Jennifer Yuh Nelson,Jack Black,145000000,519900000,374900000
Lazer Team,27/01/2016,Sci-Fi,Matt Hullum,Burnie Burns,2400000,1600000,-800000
Left Behind,03/10/2014,Religious,Vic Armstrong,Nicolas Cage,16000000,27600000,11600000
Les Misérables,25/12/2012,Musical,Tom Hooper,Hugh Jackman,61000000,441800000,380800000
Let's Be Cops,13/08/2014,Action,Luke Greenfield,Jake Johnson,17000000,138200000,121200000
Life of Pi,21/11/2012,Drama,Ang Lee,Suraj Sharma,120000000,609000000,489000000
Lights Out,22/07/2016,Horror,David F. Sandberg,Teresa Palmer,4900000,125900000,121000000
Lincoln,09/11/2012,Drama,Steven Spielberg,Daniel Day-Lewis,65000000,275300000,210300000
Little Boy,24/04/2015,Drama,Alejandro Gómez Monteverde,Jakob Salvati,20000000,17500000,-2500000
Lockout,13/04/2012,Action,James Mather,Guy Pearce,20000000,32200000,12200000
London Has Fallen,04/03/2016,Action,Babak Najafi,Gerard Butler,60000000,195700000,135700000
Looper,28/09/2012,Action,Rian Johnson,Joseph Gordon-Levitt,30000000,176500000,146500000
Love the Coopers,04/11/2015,Romance,Jessie Nelson,John Goodman,24000000,41100000,17100000
Lucy,25/07/2014,Sci-Fi,Luc Besson,Scarlett Johansson,40000000,463400000,423400000
Mad Max: Fury Road,07/05/2015,Action,George Miller,Tom Hardy,150000000,378400000,228400000
Madagascar 3: Europe's Most Wanted,08/06/2012,Comedy,Eric Darnell,Noah Baumbach(screenplay); Ben Stiller,145000000,746900000,601900000
Magic in the Moonlight,25/07/2014,Comedy,Woody Allen,Emma Stone,16800000,51000000,34200000
Mama,18/01/2013,Horror,Andres Muschietti,Jessica Chastain,15000000,146400000,131400000
Man of Steel,14/06/2013,Action,Zack Snyder,Henry Cavill,225000000,668000000,443000000
Man on a Ledge,27/01/2012,Action,Asger Leth,Sam Worthington,42000000,46200000,4200000
Max,26/06/2015,Adventure,Boaz Yakin,Josh Wiggins,20000000,44000000,24000000
Maze Runner: The Scorch Trials,18/09/2015,Sci-Fi,Wes Ball,Dylan O'Brien,61000000,312300000,251300000
Me and Earl and the Dying Girl,25/01/2015,Comedy,Alfonso Gomez-Rejon,Thomas Mann,8000000,9100000,1100000
Me Before You,03/06/2016,Drama,Thea Sharrock,Emilia Clarke,20000000,196200000,176200000
Mechanic: Resurrection,26/08/2016,Action,Dennis Gansel,Jason Statham,40000000,7500000,-32500000
Men in Black 3,25/05/2012,Comedy,Barry Sonnenfeld,Will Smith,215000000,624000000,409000000
Midnight Special,12/02/2016,Sci-Fi,Jeff Nichols,Michael Shannon,18000000,6200000,-11800000
Miracles from Heaven,16/03/2016,Drama,Patricia Riggen,Jennifer Garner,13000000,73600000,60600000
Mirror Mirror,30/03/2012,Fantasy,Tarsem Singh,Lily Collins,85000000,183000000,98000000
Mission: Impossible – Rogue Nation,23/07/2015,Action,Christopher McQuarrie,Tom Cruise,150000000,682300000,532300000
Moms' Night Out,09/05/2014,Religious,Andrew Erwin and Jon Erwin,Sarah Drew,5000000,10500000,5500000
Money Monster,13/05/2016,Drama,Jodie Foster,George Clooney,27000000,93100000,66100000
Monster Hunt,22/01/2016,Action,Raman Hui,Bai Baihe,56000000,385200000,329200000
Moonrise Kingdom ₪,25/05/2012,Comedy,Wes Anderson,Jared Gilman,16000000,68300000,52300000
Mortdecai,23/01/2015,Action,David Koepp,Johnny Depp,60000000,47000000,-13000000
Mother's Day,13/04/2016,Comedy,Garry Marshall,Jennifer Aniston,25000000,43800000,18800000
Mr. Peabody & Sherman,07/02/2014,Family,Rob Minkoff,Ty Burrell,145000000,275700000,130700000
Mud,26/04/2013,Drama,Jeff Nichols,Matthew McConaughey,10000000,32600000,22600000
